carat,cut,color,clarity,depth,table,price,'x','y','z'
1.01,b'Very Good',b'E',b'SI1',63.1,60.0,5002.0,6.37,6.34,4.01
1.01,b'Premium',b'E',b'SI1',62.4,60.0,5002.0,6.35,6.32,3.95
1.16,b'Premium',b'I',b'SI1',61.5,57.0,5002.0,6.79,6.73,4.16
1.14,b'Ideal',b'H',b'SI1',61.6,57.0,5003.0,6.7,6.75,4.14
1.14,b'Premium',b'H',b'SI1',60.7,58.0,5003.0,6.76,6.82,4.12
1.17,b'Premium',b'H',b'SI1',62.3,57.0,5004.0,6.75,6.71,4.19
1.11,b'Ideal',b'E',b'SI2',62.8,55.0,5004.0,6.62,6.6,4.15
1.09,b'Premium',b'H',b'VS2',61.2,58.0,5005.0,6.63,6.58,4.03
1.0,b'Very Good',b'D',b'SI1',62.8,58.0,5005.0,6.35,6.39,4.0
1.0,b'Good',b'D',b'SI1',60.4,64.0,5005.0,6.3,6.39,3.83
1.0,b'Good',b'D',b'SI1',61.9,65.0,5005.0,6.31,6.36,3.92
1.03,b'Ideal',b'H',b'SI1',62.2,56.0,5005.0,6.45,6.51,4.03
1.15,b'Good',b'H',b'SI1',60.2,61.0,5005.0,6.74,6.84,4.09
1.14,b'Ideal',b'E',b'SI2',62.6,56.0,5005.0,6.69,6.63,4.17
1.2,b'Premium',b'I',b'VS2',62.2,61.0,5006.0,6.74,6.73,4.19
0.72,b'Ideal',b'F',b'VVS1',60.8,56.0,5006.0,5.81,5.83,3.54
0.92,b'Very Good',b'F',b'VS1',61.0,60.0,5006.0,6.25,6.27,3.82
1.11,b'Ideal',b'I',b'SI1',62.2,54.0,5006.0,6.64,6.68,4.14
1.01,b'Premium',b'G',b'SI1',61.5,59.0,5006.0,6.48,6.43,3.97
1.01,b'Premium',b'G',b'SI1',60.6,57.0,5006.0,6.52,6.49,3.94
1.01,b'Premium',b'D',b'SI2',61.7,57.0,5006.0,6.49,6.44,3.99
1.01,b'Premium',b'G',b'SI1',61.3,59.0,5006.0,6.48,6.44,3.96
1.01,b'Ideal',b'D',b'SI2',61.3,54.0,5006.0,6.52,6.47,3.99
1.01,b'Ideal',b'D',b'SI2',61.6,57.0,5006.0,6.46,6.42,3.97
1.01,b'Premium',b'G',b'SI1',62.6,60.0,5006.0,6.36,6.29,3.96
1.01,b'Ideal',b'G',b'SI1',62.3,56.0,5006.0,6.42,6.38,3.99
1.01,b'Premium',b'G',b'SI1',62.2,58.0,5006.0,6.42,6.4,3.99
0.8,b'Ideal',b'E',b'VS1',61.8,56.0,5007.0,5.92,5.96,3.67
1.27,b'Ideal',b'J',b'VS1',62.0,57.0,5008.0,6.96,6.92,4.3
1.02,b'Premium',b'H',b'VS2',60.4,59.0,5008.0,6.52,6.55,3.95
1.14,b'Premium',b'I',b'VS2',62.8,60.0,5008.0,6.68,6.59,4.17
1.14,b'Premium',b'F',b'SI2',60.8,58.0,5008.0,6.79,6.74,4.11
1.15,b'Ideal',b'G',b'VS2',62.2,54.0,5008.0,6.74,6.65,4.17
1.0,b'Very Good',b'I',b'VS1',61.1,59.9,5009.0,6.37,6.41,3.9
1.11,b'Very Good',b'H',b'SI1',62.0,56.0,5010.0,6.61,6.65,4.11
1.03,b'Very Good',b'E',b'SI1',61.3,60.0,5010.0,6.51,6.53,4.0
1.01,b'Very Good',b'F',b'SI1',62.8,60.0,5010.0,6.32,6.38,3.99
1.01,b'Very Good',b'F',b'SI1',63.1,59.0,5010.0,6.3,6.37,4.0
1.09,b'Good',b'H',b'SI1',63.6,56.0,5010.0,6.56,6.53,4.16
1.03,b'Premium',b'I',b'VS1',60.4,59.0,5012.0,6.51,6.57,3.95
1.11,b'Ideal',b'J',b'VS1',61.3,55.0,5012.0,6.65,6.75,4.11
1.13,b'Premium',b'E',b'SI1',62.7,57.0,5012.0,6.65,6.62,4.16
1.17,b'Ideal',b'G',b'SI2',62.0,55.0,5012.0,6.81,6.74,4.2
1.02,b'Very Good',b'I',b'VS2',62.1,59.0,5013.0,6.37,6.44,3.98
1.03,b'Ideal',b'D',b'SI2',61.8,54.0,5013.0,6.46,6.52,4.01
0.9,b'Ideal',b'H',b'VS1',60.9,56.0,5013.0,6.25,6.27,3.81
0.9,b'Ideal',b'H',b'VS1',62.1,56.0,5013.0,6.15,6.2,3.83
0.9,b'Ideal',b'H',b'VS1',62.0,54.0,5013.0,6.2,6.23,3.86
1.0,b'Good',b'D',b'SI1',64.8,58.0,5013.0,6.23,6.27,4.05
1.08,b'Very Good',b'F',b'SI1',62.9,57.0,5014.0,6.53,6.54,4.11
1.13,b'Very Good',b'F',b'SI2',59.1,59.0,5014.0,6.81,6.87,4.04
1.14,b'Very Good',b'E',b'SI2',60.2,58.0,5014.0,6.71,6.78,4.06
0.92,b'Ideal',b'E',b'SI1',61.7,57.0,5014.0,6.24,6.27,3.86
1.02,b'Ideal',b'H',b'SI1',61.9,57.0,5014.0,6.46,6.4,3.98
1.21,b'Very Good',b'I',b'SI2',63.2,57.0,5014.0,6.7,6.66,4.22
1.26,b'Premium',b'J',b'VS2',62.5,58.0,5015.0,6.9,6.92,4.32
1.26,b'Premium',b'J',b'VS2',62.1,58.0,5015.0,6.9,6.95,4.3
1.11,b'Good',b'D',b'SI2',58.0,62.0,5015.0,6.77,6.81,3.94
1.2,b'Very Good',b'H',b'SI2',61.9,57.0,5016.0,6.78,6.85,4.22
1.2,b'Very Good',b'J',b'VS1',59.1,61.0,5016.0,6.94,7.0,4.12
1.09,b'Ideal',b'F',b'SI2',61.2,55.0,5016.0,6.64,6.67,4.07
1.02,b'Ideal',b'G',b'SI1',62.4,55.0,5016.0,6.43,6.48,4.03
1.16,b'Premium',b'I',b'VS2',62.4,58.0,5016.0,6.69,6.65,4.16
1.13,b'Very Good',b'F',b'SI1',61.2,59.0,5017.0,6.72,6.75,4.12
1.13,b'Very Good',b'F',b'SI1',61.0,58.0,5017.0,6.69,6.75,4.1
1.04,b'Premium',b'G',b'SI1',60.9,59.0,5017.0,6.57,6.53,3.99
1.08,b'Very Good',b'E',b'SI2',62.9,59.0,5018.0,6.44,6.53,4.08
1.28,b'Good',b'H',b'SI2',63.6,56.0,5018.0,6.92,6.78,4.37
1.03,b'Ideal',b'H',b'SI1',59.8,57.0,5018.0,6.64,6.57,3.95
1.0,b'Good',b'I',b'VS1',63.7,56.0,5018.0,6.34,6.32,4.03
1.12,b'Ideal',b'G',b'SI2',61.5,57.0,5018.0,6.74,6.68,4.13
1.17,b'Ideal',b'H',b'SI2',62.3,57.0,5019.0,6.74,6.78,4.21
1.02,b'Very Good',b'F',b'SI1',61.9,58.0,5019.0,6.43,6.49,4.0
1.05,b'Very Good',b'G',b'SI1',59.7,58.0,5019.0,6.6,6.66,3.96
0.71,b'Ideal',b'F',b'VVS1',61.0,56.0,5019.0,5.77,5.8,3.53
0.71,b'Ideal',b'F',b'VVS1',61.7,56.0,5019.0,5.73,5.77,3.55
0.71,b'Ideal',b'F',b'VVS1',61.4,56.0,5019.0,5.75,5.78,3.54
1.0,b'Very Good',b'I',b'VS2',61.9,59.0,5020.0,6.35,6.38,3.94
1.06,b'Very Good',b'H',b'SI1',62.6,58.0,5020.0,6.4,6.51,4.04
1.01,b'Ideal',b'F',b'SI2',60.4,59.0,5020.0,6.48,6.51,3.92
1.01,b'Ideal',b'I',b'SI1',62.5,56.0,5020.0,6.4,6.36,3.99
1.01,b'Ideal',b'H',b'SI1',60.4,58.0,5020.0,6.5,6.54,3.94
1.06,b'Ideal',b'H',b'SI1',62.1,56.0,5020.0,6.51,6.57,4.06
1.01,b'Good',b'G',b'SI1',63.7,60.0,5021.0,6.28,6.32,4.01
1.01,b'Good',b'G',b'SI1',63.2,59.0,5021.0,6.32,6.36,4.01
1.03,b'Ideal',b'D',b'SI2',62.5,55.0,5021.0,6.41,6.48,4.03
1.27,b'Ideal',b'J',b'SI2',61.2,56.0,5021.0,6.99,6.95,4.27
1.39,b'Ideal',b'F',b'SI2',62.2,56.0,5021.0,7.2,7.15,4.46
1.09,b'Ideal',b'G',b'SI1',62.2,56.0,5022.0,6.6,6.55,4.09
1.01,b'Ideal',b'I',b'VS1',62.5,59.0,5022.0,6.33,6.41,3.98
0.91,b'Ideal',b'G',b'VS2',61.4,57.0,5023.0,6.23,6.28,3.84
0.92,b'Ideal',b'E',b'VS1',62.6,57.0,5023.0,6.18,6.13,3.85
1.03,b'Very Good',b'G',b'SI1',62.6,56.0,5024.0,6.41,6.44,4.02
1.17,b'Very Good',b'G',b'SI1',63.3,61.0,5025.0,6.65,6.59,4.19
1.0,b'Very Good',b'E',b'SI1',63.3,56.0,5026.0,6.31,6.39,4.02
1.01,b'Very Good',b'H',b'SI1',61.9,59.0,5026.0,6.4,6.43,3.97
1.24,b'Premium',b'J',b'VS2',61.4,59.0,5026.0,6.91,6.83,4.22
0.7,b'Premium',b'D',b'IF',60.0,59.0,5027.0,5.75,5.81,3.47
1.12,b'Premium',b'I',b'VS2',61.9,58.0,5027.0,6.63,6.68,4.12
1.32,b'Premium',b'E',b'I1',62.2,58.0,5027.0,7.05,6.97,4.36
1.07,b'Ideal',b'F',b'SI2',60.7,56.9,5027.0,6.62,6.65,4.02
1.25,b'Premium',b'H',b'SI1',60.7,58.0,5027.0,7.04,6.99,4.26
1.0,b'Premium',b'E',b'SI1',62.7,61.0,5027.0,6.37,6.32,3.98
1.0,b'Fair',b'E',b'SI1',57.6,57.0,5027.0,6.56,6.52,3.77
1.05,b'Ideal',b'H',b'SI1',62.5,56.0,5027.0,6.52,6.43,4.05
1.05,b'Very Good',b'H',b'SI1',63.2,56.0,5027.0,6.51,6.47,4.1
1.21,b'Ideal',b'F',b'SI2',61.5,57.0,5028.0,6.88,6.82,4.21
0.92,b'Premium',b'D',b'SI1',62.5,59.0,5028.0,6.24,6.14,3.87
1.01,b'Premium',b'H',b'VS2',61.3,58.0,5028.0,6.46,6.49,3.97
1.01,b'Very Good',b'H',b'VS2',62.1,57.0,5028.0,6.39,6.45,3.99
1.01,b'Ideal',b'H',b'VS2',61.9,57.0,5028.0,6.42,6.48,3.99
0.97,b'Ideal',b'D',b'SI1',62.8,56.0,5028.0,6.24,6.3,3.94
1.21,b'Fair',b'F',b'SI2',65.3,53.0,5028.0,6.74,6.68,4.38
1.54,b'Premium',b'J',b'SI1',61.1,58.0,5028.0,7.48,7.41,4.55
1.21,b'Good',b'I',b'VS2',64.1,61.0,5028.0,6.7,6.66,4.28
1.21,b'Good',b'J',b'VVS2',63.7,56.0,5028.0,6.71,6.67,4.26
1.03,b'Very Good',b'E',b'SI1',62.6,58.0,5029.0,6.42,6.49,4.04
1.22,b'Very Good',b'J',b'SI1',62.2,59.0,5029.0,6.77,6.8,4.22
0.86,b'Good',b'D',b'VVS1',64.3,53.0,5029.0,6.02,6.12,3.89
1.01,b'Ideal',b'H',b'SI1',62.3,55.0,5029.0,6.46,6.45,4.02
1.0,b'Very Good',b'F',b'SI1',63.8,56.0,5030.0,6.25,6.29,4.0
1.23,b'Ideal',b'J',b'VS2',61.5,57.0,5030.0,6.85,6.9,4.23
1.07,b'Premium',b'H',b'SI1',60.0,60.0,5031.0,6.61,6.65,3.98
1.07,b'Ideal',b'H',b'SI1',60.9,57.0,5031.0,6.61,6.68,4.05
1.13,b'Ideal',b'I',b'VS2',62.3,56.0,5031.0,6.73,6.63,4.16
1.17,b'Ideal',b'F',b'SI1',63.0,54.0,5032.0,6.71,6.66,4.21
0.91,b'Premium',b'H',b'VVS1',62.5,59.0,5032.0,6.16,6.19,3.86
1.14,b'Very Good',b'F',b'SI2',59.2,63.0,5033.0,6.78,6.86,4.04
0.91,b'Very Good',b'D',b'SI1',62.8,58.0,5033.0,6.16,6.19,3.88
1.07,b'Premium',b'E',b'SI2',62.9,59.0,5033.0,6.55,6.46,4.09
1.07,b'Premium',b'E',b'SI2',61.3,59.0,5033.0,6.64,6.58,4.05
1.16,b'Very Good',b'E',b'SI2',62.4,55.0,5034.0,6.69,6.77,4.2
1.01,b'Premium',b'G',b'SI1',59.6,58.0,5034.0,6.61,6.54,3.92
1.09,b'Ideal',b'J',b'SI2',62.0,55.0,5034.0,6.58,6.64,4.1
1.01,b'Very Good',b'H',b'VS2',63.1,56.0,5034.0,6.41,6.36,4.03
1.01,b'Fair',b'E',b'SI1',64.7,56.0,5034.0,6.34,6.27,4.08
1.09,b'Very Good',b'E',b'SI2',60.9,59.0,5035.0,6.61,6.75,4.07
1.09,b'Ideal',b'E',b'SI2',61.6,55.0,5035.0,6.6,6.64,4.08
1.09,b'Ideal',b'E',b'SI2',61.9,55.0,5035.0,6.6,6.64,4.1
1.12,b'Very Good',b'I',b'VS1',59.6,58.0,5036.0,6.82,6.77,4.05
1.0,b'Very Good',b'H',b'SI1',61.5,59.0,5036.0,6.35,6.4,3.92
1.03,b'Ideal',b'G',b'SI1',60.9,57.0,5037.0,6.54,6.5,3.97
1.23,b'Very Good',b'G',b'SI2',60.8,59.0,5037.0,6.88,6.97,4.21
1.1,b'Ideal',b'I',b'SI1',62.1,57.0,5037.0,6.6,6.64,4.11
1.03,b'Premium',b'G',b'SI1',61.9,56.0,5037.0,6.54,6.48,4.03
1.02,b'Premium',b'F',b'SI1',59.2,58.0,5038.0,6.53,6.5,3.86
1.15,b'Ideal',b'I',b'VS2',61.7,59.0,5038.0,6.68,6.73,4.14
1.02,b'Very Good',b'F',b'SI1',63.3,58.0,5038.0,6.39,6.35,4.03
1.02,b'Very Good',b'F',b'SI1',62.1,63.0,5038.0,6.48,6.36,3.99
1.26,b'Premium',b'J',b'SI2',62.7,58.0,5038.0,6.95,6.9,4.34
1.23,b'Premium',b'G',b'SI1',62.5,62.0,5039.0,6.87,6.78,4.27
1.2,b'Premium',b'H',b'SI2',62.4,61.0,5040.0,6.81,6.78,4.24
0.9,b'Very Good',b'D',b'SI1',60.6,59.0,5040.0,6.23,6.28,3.79
1.2,b'Good',b'I',b'SI1',65.0,59.0,5040.0,6.51,6.57,4.25
1.25,b'Premium',b'I',b'SI2',61.0,60.0,5040.0,6.98,6.93,4.24
1.2,b'Ideal',b'J',b'VS1',61.8,55.0,5040.0,6.81,6.76,4.19
1.5,b'Fair',b'I',b'I1',65.1,59.0,5040.0,7.12,6.96,4.58
1.2,b'Ideal',b'H',b'SI2',62.3,57.0,5040.0,6.83,6.75,4.23
1.2,b'Very Good',b'I',b'SI1',63.1,59.0,5040.0,6.7,6.67,4.22
1.0,b'Premium',b'E',b'SI1',61.2,58.0,5040.0,6.39,6.35,3.9
1.0,b'Fair',b'F',b'SI1',61.3,62.0,5040.0,6.45,6.37,3.93
1.01,b'Very Good',b'I',b'VS1',63.4,57.0,5041.0,6.32,6.39,4.03
1.21,b'Fair',b'H',b'VS2',64.5,56.0,5041.0,6.7,6.66,4.31
1.07,b'Premium',b'F',b'SI1',61.7,58.0,5042.0,6.54,6.61,4.06
1.11,b'Very Good',b'D',b'SI2',61.3,60.0,5042.0,6.54,6.6,4.03
1.11,b'Very Good',b'D',b'SI2',59.9,57.0,5042.0,6.72,6.74,4.03
1.09,b'Ideal',b'E',b'SI2',61.7,58.0,5042.0,6.58,6.62,4.07
1.09,b'Premium',b'D',b'SI2',61.3,58.0,5042.0,6.65,6.62,4.07
1.22,b'Premium',b'J',b'SI1',61.9,58.0,5042.0,6.87,6.84,4.24
1.06,b'Premium',b'G',b'SI1',61.9,55.0,5043.0,6.61,6.54,4.07
1.16,b'Very Good',b'D',b'SI2',62.5,60.0,5044.0,6.64,6.7,4.17
1.04,b'Ideal',b'G',b'SI2',62.4,54.0,5044.0,6.49,6.53,4.06
1.02,b'Ideal',b'G',b'SI1',62.2,56.0,5044.0,6.46,6.44,4.01
1.02,b'Ideal',b'G',b'SI1',60.6,59.0,5044.0,6.55,6.52,3.96
1.08,b'Premium',b'G',b'SI1',59.4,60.0,5044.0,6.7,6.63,3.96
1.04,b'Good',b'F',b'SI1',63.4,59.0,5045.0,6.4,6.44,4.07
1.24,b'Very Good',b'J',b'SI1',61.6,60.0,5045.0,6.89,6.95,4.26
1.95,b'Premium',b'H',b'I1',60.3,59.0,5045.0,8.1,8.05,4.87
1.0,b'Very Good',b'H',b'VS2',59.7,59.0,5046.0,6.52,6.57,3.91
1.24,b'Very Good',b'I',b'SI1',62.5,57.0,5046.0,6.84,6.89,4.29
1.12,b'Ideal',b'F',b'SI2',61.9,55.0,5046.0,6.68,6.72,4.15
1.15,b'Very Good',b'H',b'SI1',60.9,57.0,5047.0,6.72,6.8,4.12
1.05,b'Very Good',b'H',b'SI1',60.2,62.0,5047.0,6.52,6.57,3.94
1.3,b'Very Good',b'J',b'SI2',61.1,61.0,5047.0,6.95,7.0,4.26
1.02,b'Very Good',b'H',b'SI1',64.4,59.0,5047.0,6.24,6.36,4.06
1.02,b'Ideal',b'H',b'SI1',61.7,57.0,5047.0,6.45,6.48,3.99
1.14,b'Premium',b'D',b'SI2',59.2,61.0,5047.0,6.84,6.82,4.04
1.06,b'Very Good',b'H',b'SI1',59.1,58.0,5048.0,6.66,6.71,3.95
1.08,b'Ideal',b'H',b'SI2',61.4,57.0,5049.0,6.6,6.66,4.07
1.2,b'Good',b'G',b'SI2',63.6,54.0,5049.0,6.71,6.75,4.28
1.08,b'Ideal',b'I',b'SI1',62.6,53.9,5049.0,6.51,6.56,4.09
1.01,b'Very Good',b'G',b'SI1',62.8,56.0,5049.0,6.35,6.43,4.01
1.01,b'Ideal',b'G',b'SI1',60.6,59.0,5049.0,6.45,6.49,3.92
1.03,b'Very Good',b'H',b'SI1',60.4,60.0,5050.0,6.41,6.53,3.91
1.01,b'Premium',b'H',b'VS2',62.6,61.0,5050.0,6.33,6.29,3.95
1.2,b'Ideal',b'I',b'SI2',60.5,58.0,5050.0,6.92,6.83,4.16
1.01,b'Very Good',b'H',b'VS2',61.0,63.0,5050.0,6.41,6.38,3.9
1.01,b'Very Good',b'H',b'VS2',63.5,61.0,5050.0,6.32,6.24,3.99
1.13,b'Premium',b'H',b'SI1',60.1,60.0,5050.0,6.77,6.73,4.06
1.13,b'Premium',b'H',b'SI1',60.9,59.0,5050.0,6.79,6.7,4.11
1.01,b'Good',b'D',b'VS1',56.8,61.0,5050.0,6.5,6.45,3.68
1.13,b'Premium',b'H',b'SI1',62.0,58.0,5050.0,6.67,6.63,4.12
1.01,b'Good',b'G',b'VS2',60.2,65.0,5050.0,6.55,6.48,3.92
1.13,b'Ideal',b'H',b'SI1',62.0,57.0,5050.0,6.73,6.66,4.15
1.0,b'Very Good',b'E',b'SI1',63.3,57.0,5051.0,6.3,6.36,4.01
1.0,b'Very Good',b'E',b'SI1',63.1,57.0,5051.0,6.36,6.39,4.02
1.01,b'Very Good',b'G',b'SI1',63.4,58.0,5051.0,6.29,6.4,4.02
2.0,b'Premium',b'J',b'I1',61.5,59.0,5051.0,8.11,8.06,4.97
1.11,b'Ideal',b'J',b'VS2',61.7,54.0,5051.0,6.64,6.69,4.11
0.92,b'Ideal',b'D',b'SI2',61.9,55.0,5051.0,6.24,6.27,3.87
1.01,b'Ideal',b'D',b'SI2',61.6,57.0,5051.0,6.32,6.45,3.93
1.01,b'Good',b'G',b'SI1',58.4,61.0,5051.0,6.51,6.61,3.83
1.0,b'Good',b'E',b'SI1',57.5,62.0,5051.0,6.5,6.58,3.76
0.72,b'Ideal',b'F',b'VVS1',60.8,56.0,5051.0,5.83,5.81,3.54
0.88,b'Very Good',b'F',b'VVS2',62.0,59.0,5052.0,6.09,6.13,3.79
1.13,b'Very Good',b'E',b'SI2',60.3,58.0,5052.0,6.78,6.86,4.11
0.65,b'Ideal',b'D',b'VVS1',60.9,57.0,5052.0,5.58,5.61,3.41
1.2,b'Good',b'J',b'VS2',63.7,56.0,5053.0,6.67,6.62,4.23
1.14,b'Very Good',b'H',b'VS2',59.9,57.0,5053.0,6.78,6.81,4.07
1.2,b'Premium',b'J',b'VS2',62.6,57.0,5053.0,6.8,6.72,4.23
1.11,b'Good',b'I',b'VS2',63.6,58.0,5054.0,6.57,6.52,4.16
1.01,b'Good',b'D',b'SI1',63.9,62.0,5055.0,6.25,6.31,4.01
1.01,b'Good',b'D',b'SI1',63.9,61.0,5055.0,6.28,6.31,4.02
1.01,b'Very Good',b'D',b'SI1',58.1,61.0,5055.0,6.59,6.66,3.85
1.01,b'Very Good',b'H',b'VS1',59.6,58.0,5055.0,6.46,6.5,3.86
1.01,b'Very Good',b'H',b'VS1',63.0,55.0,5055.0,6.35,6.41,4.02
1.01,b'Good',b'D',b'SI1',63.9,60.0,5055.0,6.29,6.32,4.03
1.02,b'Ideal',b'E',b'SI1',60.7,57.0,5055.0,6.55,6.51,3.97
1.02,b'Good',b'G',b'SI1',63.6,58.0,5055.0,6.39,6.34,4.05
1.02,b'Ideal',b'G',b'SI1',62.8,57.0,5055.0,6.38,6.35,4.0
1.07,b'Premium',b'H',b'SI1',62.1,58.0,5055.0,6.56,6.49,4.05
1.07,b'Premium',b'H',b'SI1',62.2,57.0,5055.0,6.57,6.48,4.06
1.24,b'Ideal',b'H',b'VS1',63.0,55.0,5055.0,6.84,6.81,4.3
1.02,b'Premium',b'H',b'SI1',59.6,57.0,5055.0,6.63,6.55,3.93
0.91,b'Premium',b'E',b'VS2',62.3,58.0,5055.0,6.21,6.15,3.85
1.02,b'Premium',b'D',b'SI2',62.8,55.0,5055.0,6.46,6.38,4.03
0.91,b'Premium',b'E',b'VS2',61.1,58.0,5055.0,6.28,6.2,3.81
1.12,b'Premium',b'H',b'VS1',59.6,57.0,5055.0,6.82,6.77,4.05
1.14,b'Good',b'I',b'VS1',63.3,56.0,5056.0,6.6,6.68,4.2
1.01,b'Good',b'I',b'VS1',59.0,63.5,5056.0,6.5,6.57,3.86
1.22,b'Very Good',b'J',b'VS1',59.0,63.0,5056.0,7.05,7.02,4.15
1.1,b'Premium',b'H',b'SI1',60.4,60.0,5056.0,6.72,6.68,4.05
0.76,b'Ideal',b'E',b'VVS1',62.2,55.0,5056.0,5.86,5.82,3.63
0.91,b'Premium',b'E',b'VS1',62.7,59.0,5057.0,6.15,6.19,3.87
0.91,b'Very Good',b'E',b'VS1',62.8,60.0,5057.0,6.08,6.11,3.83
1.08,b'Ideal',b'G',b'SI2',61.3,57.0,5057.0,6.55,6.64,4.04
1.05,b'Premium',b'D',b'SI2',60.4,57.0,5057.0,6.6,6.55,3.97
1.0,b'Very Good',b'F',b'SI1',61.8,58.0,5058.0,6.37,6.44,3.96
1.0,b'Premium',b'F',b'SI1',59.8,59.0,5058.0,6.49,6.55,3.9
1.02,b'Very Good',b'F',b'SI1',63.1,55.0,5058.0,6.45,6.38,4.05
1.12,b'Premium',b'I',b'VS1',62.2,59.0,5058.0,6.66,6.59,4.12
1.26,b'Premium',b'E',b'SI2',60.3,60.0,5058.0,7.0,6.94,4.2
1.0,b'Premium',b'F',b'SI1',62.1,59.0,5060.0,6.36,6.39,3.96
1.0,b'Good',b'E',b'SI1',64.2,58.0,5061.0,6.25,6.28,4.02
1.11,b'Ideal',b'G',b'SI1',62.6,57.0,5061.0,6.64,6.59,4.14
1.13,b'Ideal',b'G',b'SI2',61.1,54.0,5062.0,6.77,6.74,4.13
1.01,b'Fair',b'H',b'VS1',61.4,66.0,5062.0,6.34,6.24,3.87
1.01,b'Ideal',b'H',b'SI1',61.0,56.0,5062.0,6.48,6.43,3.94
1.22,b'Premium',b'H',b'SI1',60.6,58.0,5063.0,6.91,6.86,4.17
1.37,b'Very Good',b'J',b'SI2',60.7,60.0,5063.0,7.07,7.19,4.33
1.03,b'Ideal',b'H',b'SI1',62.0,57.0,5063.0,6.53,6.47,4.03
1.07,b'Ideal',b'H',b'VS1',60.2,57.0,5063.0,6.61,6.55,3.96
1.29,b'Ideal',b'D',b'I1',61.3,56.0,5065.0,6.99,7.05,4.3
1.07,b'Ideal',b'H',b'SI1',61.5,56.0,5065.0,6.6,6.66,4.08
1.34,b'Very Good',b'E',b'SI2',62.1,63.0,5065.0,7.06,7.01,4.37
1.01,b'Very Good',b'J',b'VVS2',63.7,57.0,5067.0,6.31,6.35,4.03
1.01,b'Very Good',b'I',b'VS2',62.9,56.0,5067.0,6.38,6.43,4.03
1.01,b'Very Good',b'I',b'VS2',60.9,59.0,5067.0,6.42,6.45,3.92
1.01,b'Very Good',b'F',b'SI2',61.0,60.0,5067.0,6.42,6.46,3.93
1.25,b'Ideal',b'J',b'VS2',62.6,54.0,5067.0,6.94,6.9,4.33
1.04,b'Ideal',b'E',b'SI2',61.1,56.0,5067.0,6.55,6.51,3.99
0.9,b'Good',b'E',b'VS1',62.2,60.0,5068.0,6.12,6.16,3.82
1.29,b'Very Good',b'J',b'VS2',61.3,60.0,5068.0,6.96,6.98,4.27
0.34,b'Premium',b'E',b'SI1',60.7,60.0,596.0,4.48,4.51,2.73
0.34,b'Premium',b'G',b'VS2',61.3,58.0,596.0,4.51,4.53,2.77
0.34,b'Premium',b'G',b'VS2',61.1,60.0,596.0,4.51,4.53,2.76
0.34,b'Premium',b'H',b'VS1',61.6,59.0,596.0,4.49,4.54,2.78
0.34,b'Ideal',b'G',b'VS2',61.3,55.0,596.0,4.49,4.51,2.76
0.34,b'Premium',b'E',b'SI1',59.3,58.0,596.0,4.55,4.59,2.71
0.34,b'Premium',b'G',b'VS2',61.0,58.0,596.0,4.46,4.49,2.73
0.34,b'Ideal',b'G',b'VS2',61.5,57.0,596.0,4.47,4.51,2.76
0.34,b'Premium',b'G',b'VS2',61.2,58.0,596.0,4.46,4.5,2.74
0.34,b'Premium',b'G',b'VS2',62.0,59.0,596.0,4.43,4.47,2.76
0.4,b'Very Good',b'J',b'VS2',62.5,60.0,596.0,4.67,4.71,2.93
0.4,b'Very Good',b'J',b'VS2',60.9,62.0,596.0,4.73,4.76,2.89
0.34,b'Ideal',b'E',b'SI1',61.4,55.0,596.0,4.48,4.54,2.77
0.34,b'Ideal',b'G',b'VS2',61.8,56.0,596.0,4.48,4.52,2.78
0.34,b'Ideal',b'G',b'VS2',62.0,55.0,596.0,4.46,4.48,2.77
0.34,b'Premium',b'G',b'VS2',62.4,59.0,596.0,4.41,4.47,2.77
0.34,b'Ideal',b'G',b'VS2',62.0,56.0,596.0,4.47,4.5,2.78
0.4,b'Good',b'I',b'SI1',63.2,55.0,596.0,4.68,4.72,2.97
0.34,b'Premium',b'E',b'SI1',61.9,59.0,596.0,4.44,4.48,2.76
0.34,b'Ideal',b'E',b'SI1',61.4,54.0,596.0,4.5,4.53,2.77
0.34,b'Ideal',b'G',b'VS2',62.2,57.0,596.0,4.44,4.47,2.77
0.34,b'Ideal',b'E',b'SI1',61.8,56.0,596.0,4.45,4.48,2.76
0.34,b'Very Good',b'H',b'VS1',61.3,56.0,596.0,4.48,4.53,2.76
0.34,b'Ideal',b'G',b'VS2',61.1,55.0,596.0,4.52,4.55,2.77
0.34,b'Good',b'H',b'VS1',63.1,57.0,596.0,4.4,4.44,2.79
0.34,b'Good',b'G',b'VS2',63.1,57.0,596.0,4.43,4.47,2.81
0.34,b'Ideal',b'G',b'VS2',61.4,57.0,596.0,4.48,4.51,2.76
0.34,b'Ideal',b'G',b'VS2',61.7,56.0,596.0,4.48,4.53,2.78
0.34,b'Ideal',b'G',b'VS2',61.9,55.0,596.0,4.49,4.53,2.79
0.34,b'Premium',b'H',b'VS1',60.8,59.0,596.0,4.48,4.53,2.74
1.44,b'Very Good',b'E',b'I1',61.1,62.0,5068.0,7.15,7.23,4.39
1.0,b'Good',b'G',b'VS2',62.7,58.0,5068.0,6.24,6.33,3.94
1.01,b'Ideal',b'E',b'SI1',62.2,56.0,5068.0,6.43,6.4,3.99
1.0,b'Premium',b'H',b'VS2',59.6,59.0,5069.0,6.54,6.47,3.88
