"ï.¿Car.Make","Car.Model","Year","Engine.Size..L.","Horsepower","Torque..lb.ft.","X0.60.MPH.Time..seconds.","Price..in.USD."
"McLaren","GT",2021,"4",620,465,3.1,210000
"BMW","Z4 M40i",2022,"3",382,369,4.3,63700
"Mercedes-Benz","SLC 43",2020,"3",385,384,4.6,62000
"Chevrolet","Camaro SS",2022,"6.2",455,455,4.3,42500
"Ford","Mustang GT",2022,"5",460,420,4.3,36120
"Nissan","370Z Nismo",2020,"3.7",350,276,4.6,45790
"Aston Martin","Vantage",2022,"4",503,505,3.6,146000
"Bentley","Continental GT",2021,"4",626,664,3.3,220000
"Porsche","718 Boxster",2022,"2",300,280,4.9,62000
"Lamborghini","Urus",2021,"4",641,627,3.6,222004
"Ferrari","F8 Spider",2021,"3.9",710,568,2.9,280000
"Audi","TT RS",2022,"2.5",394,354,3.6,69900
"McLaren","570S",2021,"3.8",562,443,2.9,208800
"BMW","M4",2022,"3",473,406,4,72800
"Porsche","718 Cayman",2022,"2",300,280,4.9,60500
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,393695
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,625000
"Audi","RS5",2022,"2.9",444,443,3.7,75100
"McLaren","GT",2021,"4",612,465,3.2,208800
"BMW","M2",2022,"3",405,406,4,58900
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.6,229000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,62000
"Ford","GT",2022,"3.5",660,550,3,5e+05
"Nissan","370Z Nismo",2020,"3.7",350,276,5.2,46200
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.6,71000
"Aston Martin","DBS Superleggera",2021,"5.2",715,663,3.2,308000
"Alfa Romeo","Giulia Quadrifoglio",2022,"2.9",505,443,3.8,80500
"Jaguar","F-Type R",2021,"5",575,516,3.5,105900
"Lotus","Evora GT",2020,"3.5",416,317,3.8,96950
"Maserati","GranTurismo",2019,"4.7",454,384,4.7,150980
"Porsche","Panamera Turbo S",2022,"4",630,604,2.9,180800
"Lamborghini","Urus",2021,"4",641,627,3.2,218000
"Aston Martin","Vantage",2021,"4",503,505,3.5,146000
"Lotus","Evora",2021,"3.5",416,317,3.8,94000
"Alfa Romeo","4C Spider",2020,"1.7",237,258,4.1,67150
"Jaguar","F-Type",2022,"3",380,339,4.9,70900
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,134300
"Porsche","Cayman GT4",2021,"4",414,309,4.2,100200
"Audi","RS5 Coupe",2022,"2.9",444,443,3.7,76450
"BMW","M2 Competition",2021,"3",405,406,4,58900
"Chevrolet","Camaro ZL1",2022,"6.2",650,650,3.5,64000
"Dodge","Challenger SRT Hellcat",2022,"6.2",717,656,3.5,61500
"Ford","GT",2021,"3.5",647,550,2.8,5e+05
"Lexus","LC 500",2022,"5",471,398,4.4,92950
"McLaren","570S",2022,"3.8",562,443,3.1,198950
"Mercedes-AMG","C63 S Coupe",2021,"4",503,516,3.7,77950
"Nissan","370Z Nismo",2021,"3.7",350,276,4.9,45790
"Porsche","718 Boxster",2021,"2",300,280,4.9,62000
"Lamborghini","Aventador S",2021,"6.5",729,507,2.9,417826
"Ferrari","F8 Tributo",2021,"3.9",710,568,2.9,274280
"Audi","TT RS Coupe",2021,"2.5",394,354,3.6,67600
"BMW","M4 Coupe",2021,"3",473,406,3.8,71800
"Acura","NSX",2021,"3.5",573,476,2.7,159495
"Aston Martin","DBS Superleggera",2022,"5.2",715,664,3.4,314500
"Bentley","Continental GT",2022,"6",626,664,3.3,214425
"Bugatti","Chiron",2022,"8",1500,1180,2.3,3e+06
"Dodge","Challenger SRT Hellcat",2022,"6.2",717,656,3.5,71490
"Jaguar","F-Type",2021,"5",575,516,3.5,105900
"Koenigsegg","Jesko",2021,"5",1280,1106,2.5,2800000
"Lexus","LC 500",2021,"5",471,398,4.4,92950
"Lotus","Evora GT",2021,"3.5",416,317,3.8,104400
"Maserati","GranTurismo",2022,"4.7",454,384,4.7,150980
"McLaren","Artura",2022,"3",671,531,3,225000
"Pagani","Huayra",2021,"6",764,738,2.6,2600000
"Porsche","Cayman GT4",2022,"4",414,309,4.2,102000
"Rimac","C_Two",2021,"Electric",1914,1696,1.9,2400000
"Rolls-Royce","Wraith",2021,"6.8",624,605,4.4,335550
"Tesla","Model S Plaid",2021,"Electric",1020,1050,1.9,141990
"Toyota","GR Supra",2022,"3",382,368,3.9,43090
"TVR","Griffith",2021,"5",500,420,3.9,157500
"Ultima","RS",2021,"6.2",1200,1300,2.3,220000
"W Motors","Fenyr SuperSport",2022,"3.8",800,723,2.7,1550000
"Acura","NSX",2021,"3.5",573,476,2.9,157500
"Aston Martin","DBS Superleggera",2022,"5.2",715,663,3.2,308000
"Bentley","Continental GT",2021,"6",626,664,3.6,202500
"Bugatti","Chiron",2021,"8",1500,1180,2.3,3e+06
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,65000
"Jaguar","F-Type",2021,"3",380,339,4.9,63100
"Lexus","LC 500",2021,"5",471,398,4.4,92950
"Lotus","Evija",2022,"Electric",1973,1254,2.5,2600000
"Maserati","GranTurismo",2021,"4.7",454,384,4.8,134300
"Porsche","Taycan",2021,"Electric",616,774,2.6,185000
"Rimac","C_Two",2022,"Electric",1914,1696,1.9,2400000
"Tesla","Model S Plaid",2022,"Electric",1020,1050,1.98,140000
"McLaren","Artura",2022,"3",671,531,3,225000
"Mercedes-Benz","AMG GT Black Series",2021,"4",720,590,3.1,325000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Ford","GT",2021,"3.5",647,550,3,5e+05
"Aston Martin","DBS Superleggera",2021,"5.2",715,664,3.4,307820
"Jaguar","F-Type",2022,"5",575,516,3.5,103200
"Dodge","Challenger SRT Hellcat Redeye",2021,"6.2",797,707,3.5,80190
"Lotus","Evora GT",2022,"3.5",416,317,3.8,105000
"Alfa Romeo","4C Spider",2020,"1.8",237,258,4.1,68745
"Subaru","WRX STI",2022,"2.5",310,290,5.2,38170
"Acura","NSX",2022,"3.5",573,476,2.7,157500
"Koenigsegg","Jesko",2021,"5",1280,1015,2.5,2800000
"Tesla","Model S Plaid",2022,"Electric",1020,1050,1.98,139990
"Bugatti","Chiron Super Sport 300+",2022,"8",1578,1180,2.3,5200000
"McLaren","Senna",2020,"4",789,590,2.7,1500000
"Porsche","Taycan Turbo S",2022,"Electric",750,774,2.6,185000
"Mercedes-Benz","SLS AMG Black Series",2014,"6.2",622,468,3.5,275000
"Lexus","LC 500",2022,"5",471,398,4.4,93050
"Chevrolet","Camaro ZL1",2022,"6.2",650,650,3.5,65000
"Audi","RS 7 Sportback",2022,"4",591,590,3.5,114000
"Ford","GT",2022,"3.5",660,550,3,5e+05
"BMW","M2 CS",2022,"3",444,406,3.8,84595
"Porsche","Cayman GT4",2022,"4",414,309,4.2,102550
"Lamborghini","Aventador",2022,"6.5",770,531,2.8,393695
"Aston Martin","Vantage",2021,"4",503,505,3.6,146000
"Lotus","Evora GT",2021,"3.5",416,317,3.8,96950
"Porsche","Panamera Turbo S",2021,"4",620,604,2.9,180000
"Lamborghini","Aventador S",2022,"6.5",729,507,2.9,460247
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS 6 Avant",2022,"4",591,590,3.1,110045
"McLaren","570S",2021,"3.8",562,443,3.1,192500
"BMW","M5",2022,"4.4",600,553,3.2,103500
"Mercedes-Benz","AMG C 63 S",2021,"4",503,516,3.7,77400
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64695
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,64195
"Ford","GT",2021,"3.5",660,550,3,5e+05
"Nissan","370Z Nismo",2020,"3.7",350,276,5,46815
"Porsche","Cayman GT4",2021,"4",414,309,4.2,102550
"Audi","TT RS",2021,"2.5",394,354,3.6,67895
"Chevrolet","Corvette Z06",2023,"5.5",625,650,2.6,85000
"Lamborghini","Urus",2022,"4",641,626,3.2,218009
"Mercedes-Benz","AMG GT 63 S",2021,"4",630,664,3.1,162900
"Ferrari","Portofino M",2022,"3.9",612,560,3.5,245000
"Bugatti","Chiron",2021,"8",1479,1180,2.5,3e+06
"Aston Martin","DBS Superleggera",2021,"5.2",715,664,3.4,304995
"Lotus","Evora GT",2021,"3.5",416,317,3.8,100450
"Porsche","Cayman GT4",2022,"4",414,309,4.2,100200
"Acura","NSX",2021,"3.5",573,476,2.7,157500
"Lexus","LC",2021,"5",471,398,4.4,92950
"Alfa Romeo","Giulia Quadrifoglio",2021,"2.9",505,443,3.8,74750
"Audi","RS7",2021,"4",591,590,3.5,114000
"Bentley","Continental GT",2021,"6",626,664,3.3,218400
"BMW","M5",2021,"4.4",600,553,3.2,103500
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64695
"Dodge","Challenger Hellcat",2021,"6.2",717,656,3.5,70595
"Ford","GT",2022,"3.5",647,550,3,5e+05
"Jaguar","F-Type R",2021,"5",575,516,3.5,103200
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,393695
"McLaren","570S",2021,"3.8",562,443,3.1,203500
"Mercedes-Benz","SLS AMG",2015,"6.2",583,479,3.6,221580
"Nissan","370Z Nismo",2020,"3.7",350,276,4.7,47190
"Porsche","Boxster",2021,"2",300,280,4.9,62000
"Porsche","718 Cayman",2022,"2",300,280,4.9,61500
"Lamborghini","Aventador",2021,"6.5",759,531,2.9,393695
"Ferrari","Roma",2021,"3.9",612,561,3.3,222630
"Audi","RS 5",2022,"2.9",444,442,3.5,75400
"McLaren","570S",2020,"3.8",562,443,3.1,208000
"BMW","M2",2022,"3",405,406,4.2,58900
"Mercedes-Benz","SL",2022,"3",429,384,4.9,96250
"Chevrolet","Camaro",2021,"6.2",455,455,4,25000
"Ford","GT",2022,"3.5",660,550,3,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,45000
"Aston Martin","DBS Superleggera",2021,"5.2",715,664,3.4,307820
"Lotus","Evora GT",2021,"3.5",416,317,3.8,100450
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,134300
"Porsche","Panamera",2022,"2.9",325,331,5.2,88550
"Lamborghini","Urus",2021,"4",641,627,3.6,218009
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS 6",2022,"4",591,590,3.5,109000
"McLaren","Artura",2022,"3",671,531,3,225000
"Porsche","Taycan 4S",2021,"Electric (93 kWh)",429,472,3.8,103800
"Lamborghini","Aventador S",2021,"6.5",730,509,2.9,417650
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS 7",2022,"4",591,590,3.5,117000
"McLaren","570S",2021,"3.8",562,443,3.1,192500
"BMW","M4",2021,"3",473,406,4,72800
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.5,228000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42000
"Ford","GT",2021,"3.5",660,550,3,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,48000
"Aston Martin","DBS Superleggera",2021,"5.2",715,664,3.2,307820
"Lexus","LC 500",2021,"5",471,398,4.4,93000
"Bentley","Continental GT",2021,"4",626,664,3.3,202500
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,150980
"Tesla","Model S Plaid",2022,"Electric (100 kWh)",1020,1050,1.98,131190
"Rolls-Royce","Dawn",2021,"6.6",563,605,4.3,346300
"Bugatti","Chiron Pur Sport",2021,"8",1500,1180,2.3,3599000
"McLaren","Senna",2019,"4",789,590,2.7,1050000
"Porsche","Panamera Turbo S E-Hybrid",2021,"Hybrid (4.0)",690,641,3,186350
"Acura","NSX",2021,"3.5",573,476,2.7,157500
"Aston Martin","DB11",2021,"4",503,498,3.7,205600
"Audi","RS7",2021,"4",591,590,3.5,114000
"Bentley","Continental GT",2021,"6",626,664,3.6,201000
"Bugatti","Chiron",2021,"8",1500,1180,2.5,3e+06
"Chevrolet","Camaro ZL1",2022,"6.2",650,650,3.5,67000
"Dodge","Challenger Hellcat",2021,"6.2",717,656,3.5,64000
"Ferrari","812 Superfast",2021,"6.5",789,530,2.8,340000
"Lamborghini","Aventador SVJ",2021,"6.5",770,531,2.8,517770
"McLaren","600LT Spider",2021,"3.8",592,457,2.8,256500
"Mercedes-AMG","GT Black Series",2021,"4",720,590,3.1,325000
"Nissan","400Z",2023,"3",400,350,4,40000
"Porsche","Cayman GT4",2021,"4",414,309,4.2,101000
"Rimac","Nevera",2021,"Electric",1914,1696,1.9,2400000
"Rolls-Royce","Wraith",2021,"6.8",624,605,4.4,330000
"Tesla","Model S Plaid",2021,"Electric",1020,NA,1.9,139990
"Toyota","Supra",2021,"3",382,368,3.9,43000
"Porsche","718 Boxster",2021,"2",300,280,4.9,62000
"Porsche","718 Boxster",2022,"2",300,280,4.9,62000
"Lamborghini","Aventador S",2021,"6.5",730,509,2.9,417826
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,625000
"Audi","RS 7",2022,"4",591,590,3.5,114000
"McLaren","Artura",2021,"3",671,531,3,225000
"BMW","M2",2022,"3",405,406,4.1,58900
"Mercedes-Benz","SLS AMG",2015,"6.2",583,479,3.6,221580
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64695
"Ford","GT",2022,"3.5",647,550,3,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,4.8,45000
"Dodge","Charger Hellcat",2021,"6.2",707,650,3.6,69995
"Aston Martin","DBS Superleggera",2021,"5.2",715,663,3.2,305000
"Alfa Romeo","Giulia Quadrifoglio",2021,"2.9",505,443,3.8,75000
"Audi","TT RS",2021,"2.5",394,354,3.6,68000
"Bentley","Continental GT",2021,"6",626,664,3.6,203825
"BMW","M5",2022,"4.4",600,553,3.2,103500
"Chevrolet","Corvette Stingray",2021,"6.2",495,470,2.9,58900
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,63000
"Ford","Mustang GT",2022,"5",460,420,4,45000
"Porsche","Cayman",2022,"2",300,280,4.9,59900
"Lamborghini","Aventador",2021,"6.5",770,531,2.8,417826
"Ferrari","Roma",2022,"3.9",612,560,3.3,222630
"Audi","RS7",2022,"4",591,590,3.5,114000
"McLaren","570S",2021,"3.8",562,443,2.7,204995
"BMW","M4",2022,"3",473,406,4.1,71800
"Mercedes-Benz","SLS AMG",2021,"6.2",622,468,3.5,243600
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42000
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,47190
"Porsche","Panamera",2022,"2.9",325,331,5.4,88550
"Lamborghini","Urus",2021,"4",641,627,3.2,218000
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS6",2022,"4",591,590,3.5,113000
"McLaren","Artura",2021,"3",671,531,3,225000
"BMW","M2",2022,"3",405,406,4,58900
"Mercedes-Benz","GT 63",2021,"4",577,590,3.3,161200
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Aston Martin","DBS Superleggera",2021,"5.2",715,663,3.2,310000
"Bugatti","Chiron",2022,"8",1500,1180,2.4,3e+06
"Koenigsegg","Jesko",2021,"5",1280,1106,2.5,2800000
"Pagani","Huayra",2021,"6",764,737,3,2600000
"Rimac","C_Two",2022,NA,1914,1696,1.85,2400000
"McLaren","Senna",2021,"4",789,590,2.7,1e+06
"Porsche","918 Spyder",2015,"4.6",887,944,2.2,1800000
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Lamborghini","Aventador SVJ",2020,"6.5",759,531,2.8,517000
"Audi","RS 6 Avant",2021,"4",591,590,3.5,110000
"Bentley","Continental GT Speed",2022,"6",650,664,3.5,3e+05
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,68000
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,65000
"Ford","GT",2021,"3.5",660,550,2.9,5e+05
"Lexus","LC 500",2022,"5",471,398,4.4,92000
"Lotus","Evija",2022,NA,1972,1254,2.5,2700000
"Mercedes-AMG","GT Black Series",2021,"4",720,590,3.1,330000
"Aston Martin","DB11",2021,"4",503,513,3.9,205000
"Bentley","Continental GT",2022,"4",542,568,3.9,229000
"Jaguar","F-Type",2022,"2",296,295,5.4,62750
"Lotus","Evora GT",2021,"3.5",416,317,3.8,1e+05
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,135000
"Porsche","Boxster",2022,"2",300,280,4.9,63000
"Alfa Romeo","4C",2020,"1.8",237,258,4.2,67150
"Chevrolet","Camaro",2022,"6.2",455,455,4,62195
"Dodge","Challenger",2022,"3.6",305,268,6.4,28000
"Ford","GT",2022,"3.5",660,550,2.9,5e+05
"Audi","RS7",2022,"4",591,590,3.5,115045
"BMW","M4",2022,"3",473,406,4.1,71800
"Lamborghini","Aventador",2021,"6.5",729,507,2.9,393695
"Mercedes-Benz","AMG C 63",2021,"4",469,479,3.8,69900
"Nissan","370Z",2021,"3.7",350,276,5.3,30090
"Porsche","Cayman",2022,"2",300,280,4.9,68000
"BMW","i8",2022,"1.5",369,184,4.2,147500
"Chevrolet","Corvette Stingray",2021,"6.2",495,470,2.9,58900
"Porsche","Taycan Turbo S",2022,"Electric",750,774,2.6,185000
"Lamborghini","Aventador S",2021,"6.5",729,507,2.9,417650
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,625000
"Audi","RS7",2022,"4",591,590,3.5,115000
"McLaren","GT",2022,"4",620,465,3.1,208000
"BMW","M5",2022,"4.4",600,553,3.2,103500
"Mercedes-Benz","SLS AMG",2021,"4",730,590,2.9,250000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,46100
"Porsche","Panamera Turbo S",2022,"4",630,604,3.1,180000
"Lamborghini","Urus",2021,"4",641,627,3.2,218000
"Ferrari","Portofino",2022,"3.9",591,561,3.4,250000
"Audi","TT RS",2022,"2.5",394,354,3.6,70000
"McLaren","570S",2021,"3.8",562,443,3.1,2e+05
"BMW","i8",2022,"Hybrid",369,184,4.2,148500
"Porsche","718 Cayman",2022,"2",300,280,4.9,61500
"Lamborghini","Aventador",2021,"6.5",770,531,2.8,417826
"Ferrari","Portofino",2022,"3.9",612,561,3.3,245000
"Audi","TT RS",2022,"2.5",394,354,3.6,67800
"McLaren","GT",2022,"4",620,465,3.1,211300
"BMW","M4",2022,"3",473,406,4.1,71800
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.5,222500
"Chevrolet","Camaro SS",2022,"6.2",455,455,4,43995
"Ford","GT",2022,"3.5",660,550,2.9,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,4.8,45790
"Porsche","911 Turbo S",2022,"3.8",640,590,2.6,208000
"McLaren","765LT",2021,"4",755,590,2.8,358000
"Lamborghini","Urus",2021,"4",641,627,3.6,218009
"Mercedes-AMG","GT Black Series",2021,"4",720,590,3.1,325000
"BMW","M5 Competition",2022,"4.4",617,553,3.1,103500
"Audi","RS7",2022,"4",591,590,3.5,115000
"Aston Martin","Vantage",2022,"4",503,505,3.5,152995
"Ferrari","F8 Spider",2021,"3.9",710,568,2.9,274280
"Lexus","LC 500",2022,"5",471,398,4.4,102550
"Porsche","Taycan",2022,NA,469,479,3.8,79900
"Lamborghini","Aventador SVJ",2021,"6.5",759,531,2.8,517770
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS6 Avant",2021,"4",591,590,3.5,109000
"McLaren","600LT Spider",2021,"3.8",592,457,2.8,256500
"BMW","M4",2022,"3",473,406,3.8,71800
"Mercedes-Benz","AMG GT R",2021,"4",577,516,3.5,180000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64695
"Ford","GT",2022,"3.5",660,550,3,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,48000
"Porsche","Panamera Turbo S E-Hybrid",2021,"4",690,642,3,190000
"Lamborghini","Urus",2021,"4",641,627,3.5,218000
"Ferrari","Portofino M",2021,"3.9",612,561,3.4,235000
"Audi","TT RS",2022,"2.5",394,354,3.6,67600
"McLaren","Artura",2022,"3",671,531,3,225000
"BMW","M2 CS",2022,"3",444,406,3.8,84595
"Mercedes-Benz","SLS AMG Black Series",2021,"6.2",622,468,3.5,335000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42000
"Porsche","718 Boxster",2022,"2",300,280,4.9,63000
"Lamborghini","Aventador SVJ",2020,"6.5",759,531,2.8,573966
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,625000
"Audi","TT RS Coupe",2022,"2.5",394,354,3.5,68000
"McLaren","GT",2020,"4",612,465,3.1,210000
"BMW","Z4 Roadster",2022,"2",255,295,5.2,50000
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.6,2e+05
"Chevrolet","Camaro SS Convertible",2022,"6.2",455,455,4,49000
"Ford","GT",2021,"3.5",660,550,2.9,5e+05
"Nissan","370Z Coupe",2020,"3.7",332,270,5,30090
"Aston Martin","Vantage",2021,"4",503,505,3.6,142086
"Bentley","Continental GT",2022,"6",626,664,3.3,225000
"Bugatti","Chiron",2021,"8",1479,1180,2.4,3e+06
"Dodge","Challenger SRT Hellcat",2022,"6.2",717,656,3.5,68000
"Jaguar","F-Type",2022,"2",296,295,5.4,63700
"Lotus","Evora GT",2021,"3.5",416,317,3.8,1e+05
"Maserati","GranTurismo",2022,"4.7",454,384,4.7,150980
"Aston Martin","DBS Superleggera",2021,"5.2",715,664,3.2,304995
"Lotus","Evora GT",2021,"3.5",416,317,3.8,98395
"Porsche","Panamera Turbo S E-Hybrid",2021,"4",689,642,3,190000
"Lamborghini","Aventador SVJ",2021,"6.5",759,531,2.8,517000
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS7",2022,"4",591,590,3.5,117000
"Mercedes-Benz","S63 AMG",2021,"4",603,664,3.4,168000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64500
"Ford","GT",2021,"3.5",660,550,2.8,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,4.7,46000
"Porsche","718 Cayman GT4",2022,"4",414,309,4.2,102000
"Mercedes-AMG","C63 S Coupe",2021,"4",503,516,3.7,77500
"Aston Martin","Vantage",2021,"4",503,505,3.5,147000
"McLaren","570S",2021,"3.8",562,443,3.1,193000
"BMW","M5",2022,"4.4",600,553,3.2,103500
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,64000
"Lexus","LC 500",2021,"5",471,398,4.4,92950
"Mercedes-AMG","GT 63 S",2021,"4",630,664,3.1,162000
"Audi","TT RS",2021,"2.5",394,354,3.6,67600
"Acura","NSX",2021,"3.5",573,476,2.9,157500
"Porsche","Cayman GT4",2021,"4",414,309,4.2,102000
"Lamborghini","Aventador S",2021,"6.5",730,509,2.9,417826
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS 5",2022,"2.9",444,443,3.5,76700
"McLaren","570S Spider",2020,"3.8",562,443,3.1,208800
"BMW","M2 Competition",2022,"3",405,406,4.2,58900
"Mercedes-Benz","C 63 AMG",2022,"4",469,479,3.9,69000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42000
"Ford","Mustang GT",2022,"5",460,420,4.5,43000
"Dodge","Challenger R/T",2021,"5.7",372,400,5.1,35000
"Aston Martin","Vantage",2021,"4",503,505,3.6,151000
"Lotus","Evora GT",2021,"3.5",416,317,3.8,105000
"Alfa Romeo","4C Spider",2020,"1.7",237,258,4.1,69000
"Jaguar","F-Type",2022,"2",296,295,5.4,62500
"Tesla","Roadster",2022,"Electric",1000,737,1.9,2e+05
"Koenigsegg","Jesko",2022,"5",1600,1106,2.5,3e+06
"Bugatti","Chiron Super Sport 300+",2021,"8",1578,1180,2.4,5200000
"Rimac","Nevera",2021,"Electric",1914,1696,1.85,2400000
"Porsche","Cayman GT4",2022,"4",414,309,4.2,102100
"Chevrolet","Camaro ZL1",2022,"6.2",650,650,3.5,63000
"Aston Martin","Vantage",2021,"4",503,505,3.5,142086
"Alfa Romeo","Giulia Quadrifoglio",2022,"2.9",505,443,3.8,83250
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,65000
"Lexus","LC 500",2022,"5",471,398,4.4,93050
"Audi","RS 7 Sportback",2021,"4",591,590,3.5,114000
"BMW","M4 Competition",2022,"3",503,479,3.8,74700
"Mercedes-Benz","C63 S AMG",2022,"4",503,516,3.9,77600
"Ford","GT",2022,"3.5",660,550,2.9,5e+05
"McLaren","GT",2021,"4",620,465,3.1,210000
"Porsche","Panamera Turbo S",2022,"4",630,604,2.9,181100
"Lamborghini","Aventador S",2021,"6.5",730,507,2.9,417826
"Aston Martin","DBS Superleggera",2022,"5.2",715,664,3.2,329100
"Audi","TT RS",2022,"2.5",394,354,3.6,67600
"Mercedes-Benz","AMG C43 Coupe",2021,"3",385,384,4.5,59900
"BMW","i8",2022,"1.5",369,184,4.2,147500
"Chevrolet","Corvette Stingray",2021,"6.2",490,465,2.9,59900
"Porsche","Taycan",2022,"2.0 (Electric)",469,263,3.8,81250
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,517000
"Ferrari","Roma",2021,"3.9",611,560,3.3,222620
"Audi","RS7",2022,"4",591,590,3.5,115000
"McLaren","GT",2021,"4",612,465,3.1,210000
"BMW","M2",2022,"3",405,406,4.2,58900
"Mercedes-Benz","C63 AMG",2021,"4",469,479,3.9,77000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4.1,43995
"Ford","Mustang Mach 1",2021,"5",480,420,4.1,51720
"Nissan","370Z Nismo",2021,"3.7",350,276,4.8,46610
"Porsche","Panamera",2022,"2.9",325,331,5.3,88550
"Lamborghini","Urus",2021,"4",641,627,3.6,218009
"Ferrari","SF90 Stradale",2021,"4.0 (Hybrid)",986,590,2.5,625000
"Audi","RS6",2022,"4",591,590,3.5,120000
"McLaren","570S",2021,"3.8",562,443,3.1,192500
"BMW","M4",2022,"3",503,479,3.8,74000
"Mercedes-Benz","AMG A45",2021,"2",382,354,4,50000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63995
"Acura","NSX",2021,"3.5",573,476,2.7,157500
"Aston Martin","Vantage",2021,"4",503,505,3.5,142086
"Bentley","Continental GT",2021,"4",542,568,3.3,202500
"Bugatti","Chiron",2022,"8",1479,1180,2.4,2900000
"Ferrari","F8 Tributo",2022,"3.9",710,568,2.8,275000
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,517000
"McLaren","GT",2021,"4",612,465,3.1,201500
"Mercedes-Benz","AMG GT R",2021,"4",577,516,3.5,183000
"Porsche","Taycan Turbo S",2021,"Electric",750,774,2.6,185000
"Audi","RS7",2021,"4",591,590,3.5,114000
"BMW","M4",2021,"3",473,406,4.1,71800
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Dodge","Challenger SRT Hellcat Redeye",2022,"6.2",797,707,3.5,80190
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Jaguar","F-Type",2021,"3",380,339,4.4,62750
"Lexus","LC 500",2021,"5",471,398,4.4,92000
"Lotus","Evija",2021,"Electric",2000,1254,2.8,2800000
"Maserati","GranTurismo",2021,"Electric",550,NA,2.8,2e+05
"Nissan","370Z",2021,"3.7",332,270,5,30090
"Rolls-Royce","Ghost",2021,"6.8",563,627,4.6,332500
"Porsche","Taycan",2021,"2",402,254,5.1,81250
"Aston Martin","DB11",2021,"4",630,516,3.7,198995
"Lotus","Evora GT",2021,"3.5",416,317,3.8,105000
"Acura","NSX",2022,"3.5",573,476,2.7,157500
"Tesla","Roadster",2022,"0",NA,NA,1.9,2e+05
